Patent Categories,E.D. Tex.  ,D. Del.    ,C.D. Cal.  ,N.D. Cal.  ,N.D. Ill.  ,D.N.J.     ,S.D. Cal.  ,S.D. Fla.  ,S.D.N.Y.   ,E.D. Va.   ,Grand Total
5. Patent holding company                   ,719,520,168,86,65,26,5,93,11,35,1728
6. Operating company                        ,212,305,200,112,89,107,104,29,99,36,1293
2. Individual/family trust                  ,122,35,35,19,19,4,8,1,8,7,258
3. Large aggregator                         ,50,46,52,20,43,4,13,5,11,,244
4. Failed operating company/failed start-up ,121,23,2,9,,,1,,1,1,158
8. Technology development company           ,5,44,1,10,,,1,,,6,67
1. University/College                       ,5,1,,2,6,4,1,3,,,22
7. IP Holding company of operating company  ,1,10,4,,,,2,,,,17
Grand Total,1235,984,462,258,222,145,135,131,130,85,3787
,,,,,,,,,,,
,E.D. Tex.  ,D. Del.    ,C.D. Cal.  ,N.D. Cal.  ,N.D. Ill.  ,D.N.J.     ,S.D. Cal.  ,S.D. Fla.  ,S.D.N.Y.   ,E.D. Va.   ,
5. Patent holding company                   ,42%,30%,10%,5%,4%,2%,0%,5%,1%,2%,
6. Operating company                        ,16%,24%,15%,9%,7%,8%,8%,2%,8%,3%,
2. Individual/family trust                  ,47%,14%,14%,7%,7%,2%,3%,0%,3%,3%,
3. Large aggregator                         ,20%,19%,21%,8%,18%,2%,5%,2%,5%,0%,
4. Failed operating company/failed start-up ,77%,15%,1%,6%,0%,0%,1%,0%,1%,1%,
8. Technology development company           ,7%,66%,1%,15%,0%,0%,1%,0%,0%,9%,
1. University/College                       ,23%,5%,0%,9%,27%,18%,5%,14%,0%,0%,
7. IP Holding company of operating company  ,6%,59%,24%,0%,0%,0%,12%,0%,0%,0%,
TOTAL,33%,26%,12%,7%,6%,4%,4%,3%,3%,2%,
