Case Name                                                                                                                   ,Patentee                                                                              ,Filing Date,Case No.     ,Court      ,Patentee Category                           ,"""True"" Individual","""Corporate"" Individual",Number of Defendants,NBER Category,                                                                                                                                    
"John Mezzalingua Associates, Inc. v. Pace Electronics, Inc. et al                                                         ","John Mezzalingua Associates, Inc.                                                   ",7-Jan-10   ,0:10-cv-00064,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,4            ,                                                                                                                                    
"Universal Technologies, Inc. v. Frogger, LLC                                                                              ","Universal Technologies, Inc.                                                        ",8-Jan-10   ,0:10-cv-00075,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
Boston Scientific Corporation et al v. Cordis Corporation et al                                                             ,Boston Scientific Corporation                                                         ,15-Jan-10  ,0:10-cv-00127,D. Minn.   ,6. Operating company                        ,                     ,                          ,3                   ,6            ,                                                                                                                                    
"Planetair Turf Products, LLC v. JRM, Inc.                                                                                 ","Planetair Turf Products, LLC                                                        ",19-Jan-10  ,0:10-cv-00149,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"Banner Engineering Corp. v. Frost Controls, Inc.                                                                          ",Banner Engineering Corp.                                                              ,20-Jan-10  ,0:10-cv-00156,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,4            ,                                                                                                                                    
"3M Innovative Properties Company et al v. GOJO Industries, Inc.                                                           ",3M Innovative Properties Company                                                      ,26-Jan-10  ,0:10-cv-00215,D. Minn.   ,7. IP Holding company of operating company  ,                     ,                          ,1                   ,1            ,                                                                                                                                    
"Premier Pet Products, LLC v. J.W. Pet Company, Inc.                                                                       ","Premier Pet Products, LLC                                                           ",3-Feb-10   ,0:10-cv-00310,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"Interactive Communications International, Inc. et al v. Travel Tags Inc.                                                  ",Travel Tags Inc.                                                                      ,10-Feb-10  ,0:10-cv-00363,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,6            ,                                                                                                                                    
"Custom Products of Litchfield, Inc. v. Femco, Inc.                                                                        ","Custom Products of Litchfield, Inc.                                                 ",16-Feb-10  ,0:10-cv-00425,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,5            ,                                                                                                                                    
3M Innovative Properties Company et al v. Safe Life Corporation et al                                                       ,3M Innovative Properties Company                                                      ,17-Feb-10  ,0:10-cv-00459,D. Minn.   ,7. IP Holding company of operating company  ,                     ,                          ,2                   ,3            ,                                                                                                                                    
Northern Tool + Equipment Company v. NCR Corporation                                                                        ,NCR Corporation                                                                       ,4-Mar-10   ,0:10-cv-00634,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"Valeant International (Barbados) SRL v. Paddock Laboratories, LLC                                                         ",Valeant International (Barbados) SRL                                                  ,9-Mar-10   ,0:10-cv-00687,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Toro Company, The v. MTD Products Inc. et al                                                                              ","Toro Company, The                                                                   ",11-Mar-10  ,0:10-cv-00756,D. Minn.   ,6. Operating company                        ,                     ,                          ,3                   ,6            ,                                                                                                                                    
"Superior Industries, LLC v. Masaba, Inc.                                                                                  ","Superior Industries, LLC                                                            ",12-Mar-10  ,0:10-cv-00764,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,5            ,                                                                                                                                    
"John Mezzalingua Associates, Inc. v. Perfect 10 Antenna Company                                                           ","John Mezzalingua Associates, Inc.                                                   ",12-Mar-10  ,0:10-cv-00781,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,4            ,                                                                                                                                    
3M Innovative Properties Company et al v. E.I. Du Pont de Numours and Company                                               ,3M Innovative Properties Company                                                      ,17-Mar-10  ,0:10-cv-00821,D. Minn.   ,7. IP Holding company of operating company  ,                     ,                          ,1                   ,1            ,                                                                                                                                    
"Sealing Systems, Inc. v. Adaptor, Inc. et al                                                                              ","Sealing Systems, Inc.                                                               ",17-Mar-10  ,0:10-cv-00835,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,1            ,                                                                                                                                    
"Quality Management, Inc. v. Tom W. Thurman, Inc.                                                                          ","Quality Management, Inc.                                                            ",25-Mar-10  ,0:10-cv-00962,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,4            ,                                                                                                                                    
"Sealing Systems, Inc. v. Adaptor, Inc.                                                                                    ","Sealing Systems, Inc.                                                               ",26-Mar-10  ,0:10-cv-00974,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,1            ,                                                                                                                                    
"Carlson Worldwide Marketing, Inc. v. IC Group LP et al                                                                    ","Carlson Worldwide Marketing, Inc.                                                   ",31-Mar-10  ,0:10-cv-01042,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,5            ,                                                                                                                                    
"Turfco Manufacturing, Inc. v. Lawn Solutions Commercial Products, Inc.                                                    ","Turfco Manufacturing, Inc.                                                          ",9-Apr-10   ,0:10-cv-01249,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"Valeant International (Barbados) SRL v. Paddock Laboratories, Inc.                                                        ",Valeant International (Barbados) SRL                                                  ,15-Apr-10  ,0:10-cv-01571,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Colder Products Company v. Value Plastics, Inc.                                                                           ",Colder Products Company                                                               ,23-Apr-10  ,0:10-cv-01761,D. Minn.   ,5. Patent holding company                   ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"Donaldson Company, Inc. v. AAF-McQuay, Inc.                                                                               ","Donaldson Company, Inc.                                                             ",27-Apr-10  ,0:10-cv-01816,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,1            ,                                                                                                                                    
"Donaldson Company, Inc. v. Air Filtration Systems, LLC                                                                    ","Donaldson Company, Inc.                                                             ",27-Apr-10  ,0:10-cv-01817,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,1            ,                                                                                                                                    
"Donaldson Company, Inc. v. Chemco Manufacturing Company, Inc.                                                             ","Donaldson Company, Inc.                                                             ",27-Apr-10  ,0:10-cv-01818,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,1            ,                                                                                                                                    
"Reshare Commerce, LLC v. Close to My Heart, Inc. et al                                                                    ","Reshare Commerce, LLC                                                               ",30-Apr-10  ,0:10-cv-01936,D. Minn.   ,6. Operating company                        ,                     ,                          ,12                  ,2            ,                                                                                                                                    
"GS Cleantech Corporation v. Bushmills Ethanol, Inc.                                                                       ",GS Cleantech Corporation                                                              ,3-May-10   ,0:10-cv-01944,D. Minn.   ,6. Operating company                        ,                     ,                          ,4                   ,1            ,                                                                                                                                    
"Ergotron, Inc. v. Rubbermaid Incorporated                                                                                 ","Ergotron, Inc.                                                                      ",10-May-10  ,0:10-cv-02010,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,6            ,                                                                                                                                    
"3M Company et al v. Sperian Protection Americas, Inc. et al                                                               ",3M Company                                                                            ,19-May-10  ,0:10-cv-02095,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,3            ,                                                                                                                                    
3M Innovative Properties Company et al v. TransWeb LLC                                                                      ,3M Innovative Properties Company                                                      ,21-May-10  ,0:10-cv-02132,D. Minn.   ,7. IP Holding company of operating company  ,                     ,                          ,1                   ,5            ,                                                                                                                                    
3M Purification Inc. et al v. Sealed Unit Parts Co. Inc.                                                                    ,3M Purification Inc.                                                                  ,25-May-10  ,0:10-cv-02158,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,1            ,                                                                                                                                    
"Novo Nordisk Inc. et al v. Paddock Laboratories, Inc.                                                                     ",Novo Nordisk Inc.                                                                     ,28-May-10  ,0:10-cv-02199,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
August Technology Corporation et al v. Camtek Ltd.                                                                          ,August Technology Corporation                                                         ,1-Jun-10   ,0:10-cv-02202,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"Holmberg v. Oregon Scientific, Inc.                                                                                       ",Holmberg                                                                              ,8-Jun-10   ,0:10-cv-02291,D. Minn.   ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,4            ,                                                                                                                                    
"Superior Industries, LLC v. Thor Global Enterprises Ltd.                                                                  ","Superior Industries, LLC                                                            ",21-Jun-10  ,0:10-cv-02524,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,5            ,                                                                                                                                    
"Quantum Labs, Inc. v. Dr. Fresh, Inc.                                                                                     ","Dr. Fresh, Inc.                                                                     ",22-Jun-10  ,0:10-cv-02556,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
3M Company et al v. Avery Dennison Corporation                                                                              ,3M Company                                                                            ,25-Jun-10  ,0:10-cv-02630,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,5            ,                                                                                                                                    
"Holmberg v. J & K Outdoor Products, Inc.                                                                                  ",Holmberg                                                                              ,6-Jul-10   ,0:10-cv-02900,D. Minn.   ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,4            ,                                                                                                                                    
"Agri-Cover, Inc. v. TruXedo, Inc.                                                                                         ","Agri-Cover, Inc.                                                                    ",4-Aug-10   ,0:10-cv-03331,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,5            ,                                                                                                                                    
AngioDynamics Inc. v. Vascular Solutions Inc.                                                                               ,AngioDynamics Inc.                                                                    ,18-Aug-10  ,0:10-cv-03601,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"AGA Medical Corp. v. W.L. Gore & Associates, Inc.                                                                         ",AGA Medical Corp.                                                                     ,24-Aug-10  ,0:10-cv-03734,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Airborne Athletics, Inc. v. Shoot-A-Way, Inc.                                                                             ","Airborne Athletics, Inc.                                                            ",31-Aug-10  ,0:10-cv-03785,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
3M Company v. Avery Dennison Corporation                                                                                    ,Avery Dennison Corporation                                                            ,3-Sep-10   ,0:10-cv-03849,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,5            ,                                                                                                                                    
"Takonix Incorporated v. BrakeAway Products, Inc.                                                                          ","BrakeAway Products, Inc.                                                            ",20-Sep-10  ,0:10-cv-03987,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,5            ,                                                                                                                                    
"BreathableBaby, LLC v. Summer Infant, Inc.                                                                                ","BreathableBaby, LLC                                                                 ",21-Sep-10  ,0:10-cv-03989,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"3M Company et al v. GOJO Industries, Inc.                                                                                 ",3M Company                                                                            ,28-Sep-10  ,0:10-cv-04065,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Global Traffic Technologies, LLC v. Emtrac Systems, Inc. et al                                                            ","Global Traffic Technologies, LLC                                                    ",30-Sep-10  ,0:10-cv-04110,D. Minn.   ,6. Operating company                        ,                     ,                          ,5                   ,2            ,                                                                                                                                    
Douglas Machine Inc. v. Brenton LLC et al                                                                                   ,Douglas Machine Inc.                                                                  ,30-Sep-10  ,0:10-cv-04113,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,5            ,                                                                                                                                    
"Despatch Industries Limited Partnership v. TP Solar, Inc.                                                                 ",Despatch Industries Limited Partnership                                               ,14-Oct-10  ,0:10-cv-04234,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,4            ,                                                                                                                                    
Cold Spring Granite Company v. Matthews International Corporation                                                           ,Cold Spring Granite Company                                                           ,19-Oct-10  ,0:10-cv-04272,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,5            ,                                                                                                                                    
"Donaldson Company, Inc. v. Clark Filter, Inc.                                                                             ","Donaldson Company, Inc.                                                             ",20-Oct-10  ,0:10-cv-04286,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,1            ,                                                                                                                                    
"Donaldson Company, Inc. v. Group Four, Inc.                                                                               ","Donaldson Company, Inc.                                                             ",20-Oct-10  ,0:10-cv-04287,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,1            ,                                                                                                                                    
"Polaris Industries Inc. v. CFMOTO Powersports, Inc. et al                                                                 ",Polaris Industries Inc.                                                               ,26-Oct-10  ,0:10-cv-04362,D. Minn.   ,6. Operating company                        ,                     ,                          ,5                   ,5            ,                                                                                                                                    
"KM Enterprises, Inc. v. Global Traffic Technologies, LLC                                                                  ","KM Enterprises, Inc.                                                                ",5-Nov-10   ,0:10-cv-04478,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"TSI, Incorporated v. BioVigilant Systems, Inc.                                                                            ","TSI, Incorporated                                                                   ",18-Nov-10  ,0:10-cv-04666,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,4            ,                                                                                                                                    
"Delivery Solutions, Inc. v. Schwan’s Home Service, Inc.                                                                   ","Delivery Solutions, Inc.                                                            ",29-Nov-10  ,0:10-cv-04741,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"3M Company et al v. Andover Healthcare, Inc.                                                                              ",3M Company                                                                            ,21-Dec-10  ,0:10-cv-04941,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
"Johnson v. Hewitt Machine and Manufacturing, Inc. et al                                                                   ",Johnson                                                                               ,27-Dec-10  ,0:10-cv-04980,D. Minn.   ,2. Individual/family trust                  ,1                    ,0                         ,2                   ,5            ,                                                                                                                                    
"Caddy Products, Inc. v. Seating Concepts LLC                                                                              ","Caddy Products, Inc.                                                                ",30-Dec-10  ,0:10-cv-05005,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"JRT Company Corp. v. Polymer Solutions Internationl, Inc.                                                                 ",JRT Company Corp.                                                                     ,20-Jan-10  ,0:10-cv-60093,S.D. Fla.  ,2. Individual/family trust                  ,0                    ,1                         ,1                   ,6            ,                                                                                                                                    
"Plasticos Vandux De Columbia S.A. et al v. Robanda International, Inc. et al                                              ",Plasticos Vandux De Columbia S.A.                                                     ,8-Feb-10   ,0:10-cv-60188,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,3                   ,6            ,                                                                                                                                    
"Trebor Industries, Inc. v. Regatta AS et al                                                                               ","Trebor Industries, Inc.                                                             ",12-Mar-10  ,0:10-cv-60371,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,3                   ,6            ,                                                                                                                                    
"ESCO Corporation v. GS Equipment, Inc.                                                                                    ",ESCO Corporation                                                                      ,26-Mar-10  ,0:10-cv-60466,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
Condatis LLC                                                                                                                ,Condatis LLC                                                                          ,8-Apr-10   ,0:10-cv-60540,S.D. Fla.  ,5. Patent holding company                   ,                     ,                          ,40                  ,2            ,                                                                                                                                    
"Arcs & Angles, Inc. v. Trend Supply, Inc.                                                                                 ","Arcs & Angles, Inc.                                                                 ",15-Apr-10  ,0:10-cv-60583,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"Gordon-Darby Systems, Inc. v. Systech International, LLC                                                                  ","Gordon-Darby Systems, Inc.                                                          ",22-Apr-10  ,0:10-cv-60622,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"Pfizer Inc. et al v. Watson Pharmaceuticals, Inc. et al                                                                   ",Pfizer Inc.                                                                           ,29-Apr-10  ,0:10-cv-60674,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,4                   ,3            ,                                                                                                                                    
"Abbott Laboratories et al v. Watson Laboratories, Inc.-Florida et al                                                      ",Abbott Laboratories                                                                   ,29-Apr-10  ,0:10-cv-60677,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,3                   ,3            ,                                                                                                                                    
"Vital Pharmaceuticals, Inc. v. Hinz                                                                                       ",Hinz                                                                                  ,1-Oct-10   ,0:10-cv-61832,S.D. Fla.  ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,3            ,                                                                                                                                    
