Case Name                                                                                                                                                                                                   ,Patentee                                                                  ,Filing Date,Case No.     ,Court      ,Patentee Category                           ,"""True"" Individual","""Corporate"" Individual",Number of Defendants,                                                                                                                                    
Cardinal IG Company v. Owen Cleary                                                                                                                                                                          ,Cardinal IG Company                                                       ,1/3/12     ,0:12-cv-00003,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"NVE Corporation v. Everspin Technologies, Inc.                                                                                                                                                            ",NVE Corporation                                                           ,1/3/12     ,0:12-cv-00006,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"BreathableBaby, LLC v. Crown Crafts, Inc. et al                                                                                                                                                           ","BreathableBaby, LLC                                                     ",1/11/12    ,0:12-cv-00094,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
PJC Logistics LLC v. ATX Group Inc.                                                                                                                                                                         ,PJC Logistics LLC                                                         ,1/31/12    ,0:12-cv-00232,D. Minn.   ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
PJC Logistics LLC v. BMW of North America LLC                                                                                                                                                               ,PJC Logistics LLC                                                         ,1/31/12    ,0:12-cv-00233,D. Minn.   ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
PJC Logistics LLC v General Motors LLC et al.                                                                                                                                                               ,PJC Logistics LLC                                                         ,1/31/12    ,0:12-cv-00234,D. Minn.   ,5. Patent holding company                   ,                     ,                          ,3                   ,                                                                                                                                    
PJC Logistics LLC v Mercedes-Benz USA LLC                                                                                                                                                                   ,PJC Logistics LLC                                                         ,1/31/12    ,0:12-cv-00235,D. Minn.   ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
PJC Logistics LLC v Rolls-Royce Motor Cars NA LLC                                                                                                                                                           ,PJC Logistics LLC                                                         ,1/31/12    ,0:12-cv-00236,D. Minn.   ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Honeywell International, Inc. v. Nest Labs, Inc. et al                                                                                                                                                    ","Honeywell International, Inc.                                           ",2/6/12     ,0:12-cv-00299,D. Minn.   ,6. Operating company                        ,                     ,                          ,4                   ,                                                                                                                                    
3M Innovative Properties Company et al v. SAS Safety Corp.                                                                                                                                                  ,3M Innovative Properties Company                                          ,2/15/12    ,0:12-cv-00404,D. Minn.   ,7. IP Holding company of operating company  ,                     ,                          ,1                   ,                                                                                                                                    
